priority,rank,name,url,focus,source,source_page
41,A,Michele Greco,https://www.michelegre.co/,portfolio,A1 Gallery,https://www.a1.gallery
43,A,Victoria Gee,https://victoriagee.es/en,portfolio,A1 Gallery,https://www.a1.gallery
47,A,Michaël Bernard,https://www.michaelbernard.fr/,portfolio,A1 Gallery,https://www.a1.gallery
49,A,Frank Chimero,https://frankchimero.com/,portfolio,A1 Gallery,https://www.a1.gallery
53,A,Kalok Yeung,https://www.kalokyeung.com/,portfolio,A1 Gallery,https://www.a1.gallery
55,A,Liquidities,https://www.liquidities.xyz/,portfolio,A1 Gallery,https://www.a1.gallery
56,A,Jig Tailor,https://jigtailor.xyz/,portfolio,A1 Gallery,https://www.a1.gallery
61,A,Viacheslav Novoseltsev,https://vshslv.com/,portfolio,A1 Gallery,https://www.a1.gallery
63,A,Marius Bălaj,https://balajmarius.com/,portfolio,A1 Gallery,https://www.a1.gallery
66,A,Jordan Gilroy,https://www.jordangilroy.com/,portfolio,A1 Gallery,https://www.a1.gallery
67,A,T for Troels,https://www.tfortroels.com/,portfolio,A1 Gallery,https://www.a1.gallery
68,A,Marijana Pavlinić,https://marijanapav.com/,portfolio,A1 Gallery,https://www.a1.gallery
69,A,Keya Vadgama,https://keyavadgama.com/,portfolio,A1 Gallery,https://www.a1.gallery
70,A,Overtype,https://www.overtypefoundry.com/,portfolio,A1 Gallery,https://www.a1.gallery
72,A,Peter Tarka,https://petertarka.com/,portfolio,A1 Gallery,https://www.a1.gallery
73,A,Konolee,https://konolee.com/,portfolio,A1 Gallery,https://www.a1.gallery
76,A,Vucko,https://vucko.co/,portfolio,A1 Gallery,https://www.a1.gallery
84,A,Sania Saleh,https://www.sania.io/,portfolio,A1 Gallery,https://www.a1.gallery
87,A,Artem Astakhov,https://hiartem.com/,portfolio,A1 Gallery,https://www.a1.gallery
91,A,Bailey Elith,https://www.baileyelith.com/,portfolio,A1 Gallery,https://www.a1.gallery
95,A,Andre Candido,https://andre-candido.com/,portfolio,A1 Gallery,https://www.a1.gallery
96,A,Edoardo Lunardi,https://www.edoardolunardi.dev/,portfolio,A1 Gallery,https://www.a1.gallery
98,A,Hugo Baron,https://nuageboi.fr/,portfolio,A1 Gallery,https://www.a1.gallery
99,A,Jon Howell,https://www.jonhowell.com/,portfolio,A1 Gallery,https://www.a1.gallery
100,A,Sofia Khegai,https://khegai.com/,portfolio,A1 Gallery,https://www.a1.gallery
101,A,Alvin Leung,https://alvinn.design/,portfolio,A1 Gallery,https://www.a1.gallery
102,A,Daniil Chebotarev,https://www.daniilch.design/,portfolio,A1 Gallery,https://www.a1.gallery
103,A,Ko–T,https://ko-t.com/,portfolio,A1 Gallery,https://www.a1.gallery
104,A,Vladimir Pushkarev,https://puschkarew.com/,portfolio,A1 Gallery,https://www.a1.gallery
111,A,Belle Duffner,https://belleduffner.com/,portfolio,A1 Gallery,https://www.a1.gallery
113,A,MKTLM,https://mktlm.obys.agency/,portfolio,A1 Gallery,https://www.a1.gallery
117,B,Willy Brauner,https://willybrauner.com/,portfolio,A1 Gallery,https://www.a1.gallery
137,B,Sergey Lisovskiy,https://lisovskiy.work/,portfolio,A1 Gallery,https://www.a1.gallery
141,B,Zenwood Studio,https://zenwood.studio/,portfolio,A1 Gallery,https://www.a1.gallery
144,B,Stephan Mann,https://www.stvxmvnn.com/,portfolio,A1 Gallery,https://www.a1.gallery
